#{"t_start": 1764078098.6933086, "env_id": "ALE/Breakout-v5"}
r,l,t
8.0,398,1164.178426
5.0,312,1170.638699
3.0,219,1174.787028
7.0,408,1181.543878
7.0,249,1185.919725
8.0,441,1192.937286
7.0,270,1197.436537
7.0,248,1201.905458
11.0,284,1206.348536
4.0,261,1210.897049
7.0,246,1215.452115
6.0,343,1221.857412
6.0,329,1228.592984
6.0,345,1233.626391
6.0,337,1241.405951
8.0,412,1250.185182
10.0,377,1257.746012
4.0,262,1262.350615
14.0,369,1269.245753
3.0,220,1274.023184
7.0,251,1278.571723
9.0,462,1285.848723
7.0,256,1290.81169
3.0,215,1295.524615
10.0,380,1302.077106
5.0,291,1307.650136
7.0,364,1314.861115
4.0,242,1319.706506
12.0,443,1326.610566
6.0,333,1333.333419
6.0,364,1339.929042
11.0,266,1344.605176
2.0,187,1347.193308
9.0,457,1356.044305
7.0,397,1363.345105
8.0,409,1370.510818
4.0,261,1375.079119
11.0,12.0,523,1383.5026.0,7.0,247,1387.84737.0,11.0,394,1394.4133.0,28.0,310,1399.469697
11.0,271,1404.4467
4.0,241,1409.03226.012.0,447,1417.53568.0,8.0,415,1424.678388
7.0,253,1429.701151
2.0,182,1432.43883.0,8.0,291,1437.1287.0,38.0,410,1446.317.0,311.0,531,1455.969333
8.0,422,1462.886734
7.0,260,1467.3058.0,27.0,369,1473.573018
6.0,331,1479.886343
8.0,423,1486.987423
9.0,441,1494.388862
7.0,246,1498.941751
5.0,314,1505.427282
8.0,436,1512.588942
13.0,489,1521.90279
3.0,221,1526.426075
12.0,325,1531.343176
5.0,331,1537.860347
7.0,370,1544.654174
3.0,212,1547.385833
8.0,392,1554.958415
7.0,377,1561.979882
8.0,292,1567.974471
12.0,478,1575.618102
7.0,372,1582.40684
9.0,437,1590.820584
8.0,388,1597.526969
